PM2.5,NO2,CO,O3,AQI,Y_Pred
45.77,38.77,1.11,25.78,96.0,101.73324276475888
55.43,14.99,0.12,37.5,142.0,109.85009293825706
29.32,10.31,0.98,17.5,85.0,81.30565479994705
21.38,15.05,1.17,12.6,69.0,71.16726093073832
42.82,35.32,1.21,27.6,248.0,100.14287457123996
57.26,18.17,1.37,10.57,104.0,118.44155329336138
60.75,15.08,1.88,43.42,121.0,138.42770630257658
35.67,20.48,0.81,14.35,68.0,85.02822818824615
24.27,16.66,4.7,34.15,163.0,120.9821017251513
26.35,20.71,1.31,14.1,90.0,78.67272526955828
53.66,20.86,0.83,23.4,80.0,110.81838052386323
46.01,20.42,0.79,18.61,70.0,99.27203386583061
36.7,23.67,0.82,31.08,65.0,90.64343917753273
67.25,15.63,1.4,40.72,106.0,140.44387623115108
47.68,13.2,1.6,24.82,133.0,113.54551254544067
25.6,13.93,0.77,30.05,58.0,77.07358339166727
42.67,19.41,1.45,29.24,117.0,105.65970341606725
44.56,15.04,0.18,19.33,118.0,91.49183057412984
41.96,18.5,0.78,35.48,68.0,98.98379697803091
74.16,13.81,1.23,42.45,132.0,148.14129769192957
52.87,20.97,0.8,34.93,100.0,112.67113299531724
61.92,13.12,0.03,20.36,99.0,112.64943740661217
22.64,18.01,0.94,31.17,58.0,74.88696605443248
29.1,8.49,0.97,45.38,80.0,88.99839774814444
45.1,13.78,0.13,17.79,80.0,91.38133650971524
80.11,15.08,0.14,51.61,177.0,145.6881767219011
77.17,14.91,0.05,39.5,149.0,137.524433237097
35.52,14.09,0.67,27.14,77.0,87.82312966587497
37.52,13.74,0.88,20.76,63.0,91.05884450266493
37.8,12.54,0.53,39.18,80.0,92.76376058615313
42.08,16.23,0.8,41.45,112.0,101.3949451169943
55.97,9.54,0.01,48.59,103.0,113.24933405026935
81.06,20.11,1.15,38.9,171.0,154.09619643929977
17.27,9.96,1.01,15.7,73.0,65.73452169991069
52.89,32.72,0.81,43.92,82.0,113.47436332920657
77.14,22.48,0.03,62.12,175.0,142.39424340320846
26.01,15.11,0.78,16.84,53.0,73.83108801440571
8.36,5.29,0.71,40.83,66.0,58.64089833500955
43.63,10.82,0.69,24.97,93.0,98.36850927677224
41.29,13.78,2.13,28.24,102.0,112.26507987704069
74.03,18.96,0.83,51.81,172.0,145.21209699330782
34.65,28.92,0.78,28.51,84.0,86.00844548812908
38.73,22.77,0.84,26.94,75.0,92.46058616333569
36.63,23.47,0.9,38.45,74.0,93.5616365394669
