City,Date,PM2.5,NO,NO2,NOx,CO,SO2,AQI,AQI_Bucket
Chennai,24-03-2015,149.04,31.23,112.29,12.77,0.93,14.04,333,Very Poor
Chennai,26-03-2015,140.21,16.83,31.79,25.73,1.41,11.94,318,Very Poor
Chennai,27-03-2015,266.29,39.96,50.12,20.48,1.27,25.45,408,Severe
Chennai,28-03-2015,88.65,22.83,38.75,20.64,2.21,11.76,448,Severe
Chennai,31-03-2015,51.69,37.45,46.48,16.09,1.23,6.53,312,Very Poor
Chennai,01-04-2015,103.75,42.23,36.98,14.4,1.33,4.65,289,Poor
Chennai,02-04-2015,106.27,33.67,38.34,14.8,1.08,6.22,206,Poor
Chennai,03-04-2015,42.82,23.17,35.32,16.86,1.21,6.23,248,Poor
Chennai,05-04-2015,85.86,17.2,26.79,17.04,1.14,3.96,302,Very Poor
Chennai,06-04-2015,83.19,9.46,16.84,15.85,3.42,5.63,193,Moderate
Chennai,07-04-2015,48.35,13.12,18.16,15.86,7.69,5.73,151,Moderate
Chennai,08-04-2015,73.66,8.54,17.07,17.64,1.1,3.76,137,Moderate
Chennai,09-04-2015,66.72,12.08,16.79,15.37,5.14,4.31,208,Poor
Chennai,10-04-2015,80.79,12.98,16.3,17.21,6.35,5.7,172,Moderate
Chennai,11-04-2015,75.59,8.57,16.81,18.36,1.57,5.16,149,Moderate
Chennai,12-04-2015,75.82,7.44,17.27,15.86,1.13,3.58,157,Moderate
Chennai,13-04-2015,80.23,12.33,20.43,13.51,5.69,5.58,242,Poor
Chennai,14-04-2015,87.48,7.97,18.6,17.24,1.02,6.25,205,Poor
Chennai,15-04-2015,72.65,9.4,18.34,13.71,3.87,4.7,245,Poor
Chennai,16-04-2015,90.72,12.93,19.6,13.63,6.25,1.75,244,Poor
Chennai,17-04-2015,73.28,10.34,22.18,20.41,1.02,4.53,152,Moderate
Chennai,18-04-2015,73.33,10.84,22.69,19.72,0.98,3.82,152,Moderate
Chennai,19-04-2015,71.17,18.3,29.45,18.05,0.92,4.36,148,Moderate
Chennai,20-04-2015,78.58,59.44,69.16,19.01,1.06,5.99,149,Moderate
Chennai,21-04-2015,74.55,24.69,37.66,18.13,1.13,5.08,158,Moderate
Chennai,22-04-2015,73.8,10.66,25.18,18.57,0.92,6.3,145,Moderate
Chennai,23-04-2015,69.28,27.38,41.89,18.28,2.44,4.14,142,Moderate
Chennai,24-04-2015,70.45,27.72,39.33,14.56,5.53,5.1,180,Moderate
Chennai,25-04-2015,60.15,32.58,35.63,10.76,10.28,8.42,130,Moderate
Chennai,26-04-2015,57.57,35.23,36.72,6.91,10.92,1.23,102,Moderate
Chennai,27-04-2015,67.8,21.79,26.61,8.07,12.02,0.91,113,Moderate
Chennai,28-04-2015,70.85,45.19,45.19,7.91,13.1,32.85,136,Moderate
Chennai,29-04-2015,63.16,41.12,49.3,9.38,8.02,9.32,130,Moderate
Chennai,30-04-2015,55.47,42.65,58.18,10.16,4.31,6.67,115,Moderate
Chennai,01-05-2015,51.62,16.04,19.39,8.77,10.29,3.44,108,Moderate
Chennai,02-05-2015,85.26,28.87,37.2,9.61,9.7,2.69,139,Moderate
Chennai,03-05-2015,44.26,24.54,34.41,20.42,6.09,4.29,140,Moderate
Chennai,04-05-2015,28.97,14.67,16.92,7.19,8.1,5.86,100,Satisfactory
Chennai,05-05-2015,35.16,20.39,22.34,10.33,5.16,6.65,107,Moderate
Chennai,06-05-2015,44.1,11.98,16.92,12.74,7.07,11.24,124,Moderate
Chennai,07-05-2015,57.31,7.24,20.94,21.64,1.72,9.54,130,Moderate
Chennai,08-05-2015,54.28,18.46,24.85,17.05,9.48,18.14,201,Poor
Chennai,09-05-2015,60.64,15.09,25.94,17.23,5.22,16.28,126,Moderate
Chennai,10-05-2015,53.69,22.35,29.04,37.17,2.05,9.01,153,Moderate
Chennai,11-05-2015,49.2,19.46,33.32,31.25,2.73,21.84,176,Moderate
Chennai,12-05-2015,82.63,29.3,43.83,43.94,1.8,17.42,146,Moderate
Chennai,13-05-2015,100.77,9.42,22.81,21.94,1.95,10.63,208,Poor
Chennai,14-05-2015,120.24,15.04,23.93,24.47,2.47,10.36,285,Poor
