PM2.5,CO,NO2,,,Y,Y_Pred,Y_Class,Y_Pred_Class
53.33,0.52,21.97,,,77,110.484792,Satisfactory,Moderate
38.9,1.02,12.95,,,79,99.75235933,Satisfactory,Satisfactory
26.42,1.1,12.96,,,95,84.52452702,Satisfactory,Satisfactory
23.37,0.77,8.69,,,62,75.66958429,Satisfactory,Satisfactory
41.16,0.06,10.42,,,65,88.05080172,Satisfactory,Satisfactory
87.04,0.15,28.5,,,208,148.8205856,Fair,Moderate
56.1,1.76,16.39,,,150,133.6669029,Moderate,Moderate
34.85,0.88,17.4,,,69,91.96194307,Satisfactory,Satisfactory
80.95,1.04,17.86,,,150,155.2238892,Moderate,Moderate
68.45,1.64,8.8,,,145,148.5863713,Moderate,Moderate
51.55,1.56,18.75,,,143,124.4219238,Moderate,Moderate
111.04,1.19,22.32,,,231,196.9559374,Fair,Moderate
29.99,1.17,11.74,,,80,90.3941118,Satisfactory,Satisfactory
50.76,0.78,19.19,,,92,111.2911694,Satisfactory,Moderate
44.79,1.64,12.53,,,175,117.1360259,Moderate,Moderate
39.93,4.88,14.15,,,165,160.7194085,Moderate,Moderate
46.29,0.68,18.21,,,142,103.910182,Moderate,Moderate
61.21,0.79,21.55,,,102,125.081952,Moderate,Moderate
38.02,1.07,19.4,,,81,98.95470821,Satisfactory,Satisfactory
78.68,0.95,19.5,,,167,150.7333906,Moderate,Moderate
14.13,0.73,5.39,,,71,63.07094673,Satisfactory,Satisfactory
58.42,1.17,14.41,,,102,127.7306039,Moderate,Moderate
42.23,0.78,33.02,,,126,99.15925505,Moderate,Satisfactory
31.97,1.23,7.9,,,99,94.17794732,Satisfactory,Satisfactory
54.15,0.85,19.72,,,96,116.8120958,Satisfactory,Moderate
50,0.28,23.67,,,106,102.2727362,Moderate,Moderate
149.04,0.93,112.29,,,333,237.3504041,Poor,Fair
53.45,0.03,18.63,,,119,103.2787971,Moderate,Moderate
129.92,0.9,13.7,,,199,217.9269323,Moderate,Fair
25.87,0.88,9.1,,,116,80.6424991,Moderate,Satisfactory
35.94,0.77,17.53,,,83,91.69080738,Satisfactory,Satisfactory
11.9,0.59,9.57,,,55,57.69871253,Satisfactory,Satisfactory
43.6,0,11.25,,,104,90.28928437,Moderate,Satisfactory
39.96,0.26,10.7,,,129,89.54237613,Moderate,Satisfactory
28.07,0.8,15.56,,,77,81.89738911,Satisfactory,Satisfactory
22.61,0.65,17.47,,,70,72.25360456,Satisfactory,Satisfactory
64.92,0.84,7.16,,,128,131.6638013,Moderate,Moderate
42.82,1.31,11.82,,,87,109.4796672,Satisfactory,Moderate
49.2,2.73,33.32,,,176,138.4868156,Moderate,Moderate
68.45,0.89,11.26,,,147,136.8333398,Moderate,Moderate
73.87,1.1,19.64,,,148,146.6982702,Moderate,Moderate
20.76,1.01,11.16,,,112,75.78036317,Moderate,Satisfactory
40.73,1.17,10.97,,,92,104.6117314,Satisfactory,Moderate
168.81,0.96,19.55,,,218,269.7884119,Fair,Fair
71.55,0,30.81,,,135,125.9193553,Moderate,Moderate
38.04,1.15,11.43,,,120,100.7244874,Moderate,Very Poor
39.25,0.58,8.88,,,84,93.66928969,Satisfactory,Satisfactory
45.39,0.22,27.36,,,78,95.02881663,Satisfactory,Satisfactory
79.51,0.74,29.82,,,126,147.925553,Moderate,Moderate
46.79,0.98,12.05,,,130,109.5998981,Moderate,Moderate
106.04,0.96,12.07,,,200,187.4546629,Moderate,Moderate
61.29,0.42,10.22,,,92,120.1863443,Satisfactory,Moderate
65.26,0.79,11.46,,,172,131.0660096,Moderate,Moderate
35.16,0.83,12.35,,,70,91.918669,Satisfactory,Satisfactory
8.1,0.58,5.34,,,59,52.79972995,Satisfactory,Satisfactory
31.74,1.16,17.71,,,86,92.16883676,Satisfactory,Satisfactory
90.87,2.23,17.24,,,166,186.7503325,Moderate,Moderate
31.68,0.11,10.35,,,71,76.32191938,Satisfactory,Satisfactory
50.27,0.8,24.55,,,91,110.6134131,Satisfactory,Moderate
79.19,0.15,25.72,,,163,138.6411504,Moderate,Moderate
60.61,0.86,17.11,,,76,125.6548815,Satisfactory,Moderate
8.36,0.71,5.29,,,66,55.15600956,Satisfactory,Satisfactory
41.96,0.78,18.5,,,68,99.72565344,Satisfactory,Satisfactory
85.55,3.13,16.47,,,200,193.6969422,Moderate,Moderate
22.43,0.96,16.08,,,87,76.89777311,Satisfactory,Satisfactory
100.14,0.18,19.88,,,191,167.1142786,Moderate,Moderate
37.23,0.52,13.89,,,76,89.75834306,Satisfactory,Satisfactory
65.3,1.03,52.6,,,126,132.2157131,Moderate,Moderate
51.21,0.24,23.99,,,83,103.2301984,Satisfactory,Moderate
52.86,1.17,17.97,,,89,120.1693993,Satisfactory,Moderate
32.41,1.12,14.19,,,84,92.65789843,Satisfactory,Satisfactory
29.82,0.8,12.68,,,68,84.38906229,Satisfactory,Satisfactory
51.92,1.11,11.45,,,117,118.4158489,Moderate,Moderate
16.34,0.56,13.05,,,92,62.8711748,Satisfactory,Satisfactory
35.59,1.14,16.77,,,79,96.99841223,Satisfactory,Satisfactory
45.09,0.03,9.21,,,76,92.84844951,Satisfactory,Satisfactory
59.7,0.78,23.76,,,86,122.7948462,Satisfactory,Moderate
70.43,0.79,15.41,,,133,137.6355262,Moderate,Moderate
62.57,0,10.28,,,78,115.3770003,Satisfactory,Moderate
29.73,1,12.96,,,74,87.34499893,Satisfactory,Satisfactory
59.2,2.26,17.26,,,191,145.4324333,Moderate,Moderate
62.08,0.66,21.3,,,113,124.2354814,Moderate,Moderate
24.56,0.4,20.35,,,99,70.77756411,Satisfactory,Satisfactory
31.56,0.51,8.57,,,60,82.46162998,Satisfactory,Satisfactory
98.92,1.06,16.05,,,221,179.3549791,Fair,Moderate
98.83,1.08,19.12,,,261,179.3504265,Fair,Moderate
48.95,0.75,12.06,,,88,108.8925037,Satisfactory,Moderate
44.79,0.8,19.71,,,77,103.6914806,Satisfactory,Moderate
35.54,0.15,24.26,,,75,81.14886258,Satisfactory,Satisfactory
41.03,1.09,34.45,,,91,102.2786118,Satisfactory,Moderate
72.05,0.86,23.76,,,159,140.3245091,Moderate,Moderate
52.89,0.81,32.72,,,82,113.7053404,Satisfactory,Moderate
49.6,0.84,11.33,,,97,111.1880039,Satisfactory,Moderate
37.78,1.05,24.04,,,110,98.03401974,Moderate,Satisfactory
56.7,0.04,10.05,,,104,108.2661367,Moderate,Moderate
37.37,1.04,10.27,,,77,98.21344612,Satisfactory,Satisfactory
34.52,0.7,23.6,,,76,88.34943297,Satisfactory,Satisfactory
46.3,0.23,18.6,,,81,96.94055947,Satisfactory,Satisfactory
35.75,1.43,8.13,,,80,102.2425401,Satisfactory,Moderate
39.74,0.61,13.02,,,139,94.516535,Moderate,Satisfactory
71.19,1.84,20.02,,,164,154.5806491,Moderate,Moderate
36.92,0.02,15.3,,,59,81.52863675,Satisfactory,Satisfactory
25.9,0.79,19.04,,,68,78.65888619,Satisfactory,Satisfactory
46.29,0.12,11.12,,,67,95.70179014,Satisfactory,Satisfactory
37.64,0.83,18.77,,,74,94.78247318,Satisfactory,Satisfactory
30.69,1.52,11.68,,,98,96.7332005,Satisfactory,Satisfactory
84.77,1.01,21.1,,,210,159.5936689,Fair,Moderate
33.53,0,8.75,,,63,77.16333354,Satisfactory,Satisfactory
29.34,0.82,33.17,,,62,82.76314468,Satisfactory,Satisfactory
30.81,0.85,15.16,,,115,86.3106519,Moderate,Satisfactory
43.91,0.92,23.73,,,63,104.1305916,Satisfactory,Moderate
83.26,0.02,17.31,,,160,142.5347475,Moderate,Moderate
69.28,2.44,41.89,,,142,159.9486596,Moderate,Moderate
19.48,1.09,11.66,,,70,75.29694337,Satisfactory,Satisfactory
46.07,0.85,16.23,,,88,106.3743472,Satisfactory,Moderate
44.08,2.6,10.76,,,174,131.1556338,Moderate,Moderate
53.36,1.4,15.85,,,183,124.5200546,Moderate,Moderate
26.55,0.98,10.6,,,80,82.99050642,Satisfactory,Satisfactory
24.98,0.89,19.13,,,80,78.98569189,Satisfactory,Satisfactory
38.5,0.44,15.1,,,68,90.11991774,Satisfactory,Satisfactory
62.53,0,12.92,,,103,115.156486,Moderate,Moderate
51.67,0.95,16.22,,,95,115.308986,Satisfactory,Moderate
23.6,0.98,13.82,,,172,78.89413548,Moderate,Satisfactory
75.69,0,16.08,,,124,132.3169686,Moderate,Moderate
63.03,0.65,7.26,,,134,126.226237,Moderate,Moderate
48.28,0.17,12.16,,,77,99.034122,Satisfactory,Satisfactory
68.44,0.89,11.15,,,111,136.8271367,Moderate,Moderate
83.86,0.04,19.87,,,166,143.4728794,Moderate,Moderate
73.27,0,15.47,,,117,129.1631542,Moderate,Moderate
25.42,3.27,10.18,,,256,116.9351106,Fair,Moderate
52.76,0.71,32.62,,,111,111.9939625,Moderate,Moderate
23.49,0.81,12.89,,,72,76.17951948,Satisfactory,Satisfactory
34.52,1.05,20.56,,,78,93.95439791,Satisfactory,Satisfactory
119.68,4.16,16.33,,,277,254.6578464,Fair,Fair
29.65,0.93,15.98,,,83,85.96520887,Satisfactory,Satisfactory
9.99,0.69,4.57,,,65,57.04288185,Satisfactory,Satisfactory
31.55,1.07,11.27,,,76,90.93576811,Satisfactory,Satisfactory
86.94,0.18,17.09,,,276,149.8775166,Fair,Moderate
25.83,2.01,16.9,,,83,97.56651846,Satisfactory,Satisfactory
34.61,0.59,10.35,,,86,87.6092115,Satisfactory,Satisfactory
30.88,0,10.68,,,66,73.54470223,Satisfactory,Satisfactory
19.53,0.37,8.49,,,84,64.43147082,Satisfactory,Satisfactory
72.65,0.12,10.7,,,111,130.5037818,Moderate,Moderate
37.45,1.09,11.82,,,104,98.99361435,Moderate,Satisfactory
92.17,1.23,19.12,,,185,172.8835979,Moderate,Moderate
43.14,0.12,14.58,,,80,91.32632065,Satisfactory,Satisfactory
41.52,1.01,12.27,,,84,103.0973658,Satisfactory,Moderate
63.65,0.81,5.76,,,132,129.6134463,Moderate,Moderate
65.55,0.89,16.62,,,124,132.6669564,Moderate,Moderate
51.17,0.07,5.5,,,107,101.7236845,Moderate,Moderate
86.4,1.02,10.03,,,165,162.6020447,Moderate,Moderate
36.71,0.32,9.87,,,77,86.23530482,Satisfactory,Satisfactory
65.53,0.18,21.28,,,231,121.3662448,Fair,Moderate
60.55,0.99,13.45,,,149,127.8183804,Moderate,Moderate
