PM2.5,NO2,NH3,SO2,O3,AQI,Y_Pred,Y Class,Y_Pred Class
61.8651,15.39,4.59,9.2,11.35,117,121.0805039,Moderate,Very Poor
61.8651,13.42,7.83,8.61,9.16,123,120.1932023,Moderate,FALSE
61.8651,19.56,4.63,48.23,13.45,77,111.9071413,Satisfactory,Poor
61.8651,16.2,5.23,27.96,10.33,100,115.8405382,Satisfactory,Poor
61.8651,16.3,5.5,16.6,9.36,77,118.6514316,Satisfactory,Poor
61.8651,35.6,5.46,21.98,12.61,83,121.8128044,Satisfactory,Very Poor
61.8651,46.38,4.9,28.13,13.94,92.76,122.5870409,Satisfactory,Very Poor
61.8651,37.79,3.71,21.26,38.29,75.58,130.017739,Satisfactory,Very Poor
61.8651,42.65,5.81,22.82,27.34,85.3,127.2669088,Satisfactory,Very Poor
61.8651,19.17,3.96,17.36,27.19,108,124.2652746,Moderate,Very Poor
61.8651,49.87,3.77,21.75,19.04,99.74,126.4938617,Satisfactory,Very Poor
61.8651,30.31,4.16,28.51,18.32,68.738,120.7349634,Satisfactory,FALSE
61.8651,64.35,6.06,16.44,17.25,99.74,130.1326486,Satisfactory,Very Poor
61.8651,38.23,8.79,20.32,23.68,69,126.0011534,Satisfactory,Very Poor
61.8651,23.87,4.53,21.92,14.1,69,120.0518191,Satisfactory,FALSE
61.8651,18.39,4.03,13.18,13.22,69,121.1269125,Satisfactory,Very Poor
61.8651,17.4,3.77,10.44,26.34,69,125.5567703,Satisfactory,Very Poor
61.8651,30.7,3.63,11.33,29.08,69,128.6479757,Satisfactory,Very Poor
61.8651,41.8,3.82,9.72,27.45,85.52,130.7072236,Satisfactory,Very Poor
61.8651,27.9,20.14,8.52,32.32,69,129.6963442,Satisfactory,Very Poor
61.8651,59.26,3.85,9.28,18.84,88,131.5966792,Satisfactory,Very Poor
61.8651,46.77,4.6,7.64,24.98,91.26,131.4783371,Satisfactory,Very Poor
61.8651,37.55,4.01,10.57,42.33,75.1,134.0609361,Satisfactory,Very Poor
61.8651,9.89,4.36,7.39,37.17,69,128.1509723,Satisfactory,Very Poor
61.8651,10.14,3.98,7.16,17.11,69,122.3431366,Satisfactory,Very Poor
61.8651,10.44,3.53,7.38,20.18,69,123.2502924,Satisfactory,Very Poor
61.8651,12.63,4.28,7.14,27.02,69,125.7433123,Satisfactory,Very Poor
61.8651,16.83,3.69,8.06,36.68,69,129.1466232,Satisfactory,Very Poor
61.8651,41.79,3.95,8.46,26.29,89.3,130.7035282,Satisfactory,Very Poor
61.8651,23.84,5.54,9.46,21.75,69,125.6743597,Satisfactory,Very Poor
61.8651,46.59,4.37,7.88,38.57,93.18,135.3922121,Satisfactory,Very Poor
61.8651,26.05,4.2,7.76,42.61,69,132.7227376,Satisfactory,Very Poor
61.8651,15.82,3.63,10.58,38.8,69,128.8979383,Satisfactory,Very Poor
61.8651,14.89,5.12,6.83,29.08,69,126.8569912,Satisfactory,Very Poor
61.8651,14,27.6,4.89,36.62,69,129.2506792,Satisfactory,Very Poor
61.8651,19.17,76.99,7.48,29.93,69,127.1390167,Satisfactory,Very Poor
61.8651,16.7,81.78,7.36,37.13,69,128.7879038,Satisfactory,Very Poor
61.8651,13.46,25.85,6.42,33.12,69,127.7150377,Satisfactory,Very Poor
61.8651,12.98,46.65,6.21,33.17,69,127.52078,Satisfactory,Very Poor
61.8651,13.43,37.42,6.27,31.08,69,127.0506076,Satisfactory,Very Poor
61.8651,13.2,58.69,6.64,40.77,69,129.5878352,Satisfactory,Very Poor
61.8651,14.8,50.48,6.87,40.57,69,129.8389532,Satisfactory,Very Poor
61.8651,14.27,47.94,6.79,47.85,69,131.9302125,Satisfactory,Very Poor
61.8651,14.16,56.36,7.21,36.94,69,128.5045024,Satisfactory,Very Poor
61.8651,12.97,56.06,7.84,31.32,69,126.4517038,Satisfactory,Very Poor
61.8651,13.02,68.44,7.58,26.41,69,124.9783683,Satisfactory,Very Poor
61.8651,12.63,82.48,7.38,30.87,69,126.1569536,Satisfactory,Very Poor
61.8651,14.43,116.59,8.35,33.53,69,126.7335926,Satisfactory,Very Poor
61.8651,15.78,113.29,9.15,33.83,69,126.8890121,Satisfactory,Very Poor
61.8651,15.2,85.61,9.42,19.3,69,122.6499533,Satisfactory,Very Poor
61.8651,13.43,98.16,11.51,30.22,69,124.8650444,Satisfactory,Very Poor
61.8651,11.56,103.03,7.04,24.91,69,124.1142593,Satisfactory,Very Poor
61.8651,11.4,110.13,6.31,30.54,69,125.8838837,Satisfactory,Very Poor
61.8651,15.81,105.68,6.13,25.03,69,125.1802659,Satisfactory,Very Poor
61.8651,14.44,114.96,7.34,29.33,69,125.7834262,Satisfactory,Very Poor
61.8651,11.57,62.31,8.67,30.18,69,125.5720539,Satisfactory,Very Poor
61.8651,13.22,64.21,6.31,29.46,69,126.296486,Satisfactory,Very Poor
61.8651,11.24,58.05,7.77,40.47,69,128.8264899,Satisfactory,Very Poor
61.8651,11.7,29.87,6.09,25.91,69,125.3088232,Satisfactory,Very Poor
61.8651,11.38,14.42,5.8,52.44,69,133.2871694,Satisfactory,Very Poor
61.8651,10.95,14.83,5.29,93.22,69,145.3768991,Satisfactory,Very Poor
61.8651,12.29,63.64,8.15,47.22,69,130.8678912,Satisfactory,Very Poor
61.8651,11.37,58.57,6.77,41.26,69,129.3511177,Satisfactory,Very Poor
61.8651,14.04,40.55,7.59,63.26,69,136.2801436,Satisfactory,Very Poor
61.8651,16.34,74,10.07,105.13,69,148.1207474,Satisfactory,Very Poor
61.8651,18.61,10.8,8.04,85.37,69,143.8009913,Satisfactory,Very Poor
61.8651,18.9,10.89,5.5,64.65,69,138.4283915,Satisfactory,Very Poor
61.8651,18.29,11.03,5.29,77.43,69,142.1405466,Satisfactory,Very Poor
61.8651,22.44,11.42,4.61,34.6,69,130.4672951,Satisfactory,Very Poor
61.8651,21.64,11.56,5.03,35.85,69,130.5694324,Satisfactory,Very Poor
61.8651,16.02,10.86,5.22,57.14,69,135.7416972,Satisfactory,Very Poor
61.8651,16.2,13.77,8.43,52.68,69,133.5645156,Satisfactory,Very Poor
61.8651,16.41,10.89,7.79,51.23,69,133.3741401,Satisfactory,Very Poor
61.8651,35.78,11.15,5.58,47.28,71.56,136.4793323,Satisfactory,Very Poor
61.8651,24.87,11.16,5.63,52.19,69,135.8455763,Satisfactory,Very Poor
61.8651,48.6,10.54,10.75,73.63,98.6,145.291458,Satisfactory,Very Poor
61.8651,54.96,9.96,10.87,34.43,104.96,134.9000178,Moderate,Very Poor
61.8651,22.4,9.99,12.45,48.82,69,132.5428673,Satisfactory,Very Poor
61.8651,22.22,10.04,10.7,35.5,69,129.0513835,Satisfactory,Very Poor
61.8651,36.81,11.76,13.96,54.8,86.81,136.6167249,Satisfactory,Very Poor
61.8651,22.96,9.56,8.66,49.91,69,134.0021559,Satisfactory,Very Poor
173.51,30.32,11.76,8.86,30.17,166,274.3620794,Moderate,Severe
149.04,112.29,9.68,14.04,38.67,333,259.2805285,Very Poor,Severe
